date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:16:49	10484/10484	---MCZ	200	added ('OK')	text/html	etag:%225322e24a5ae252402fbc97c2bc40f191-ssl-df%22	https://metawallet-restore.netlify.app/claim.html	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/claim.html	(from )
08:16:51	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1663184385-ssl-df	https://metawallet-restore.netlify.app/robots.txt		(from )
08:16:53	4210/4210	---M--	200	added ('OK')	image/png	etag:%226be957a7ab23c078c6c366f6fd645382-ssl%22	https://metawallet-restore.netlify.app/img/icon-48x48.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/icon-48x48.png	(from https://metawallet-restore.netlify.app/claim.html)
08:16:55	59344/59344	---MCZ	200	added ('OK')	text/css	etag:%225378cf69f0f339dc3894d2b4178cd459-ssl-df%22	https://metawallet-restore.netlify.app/css/all.css	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/css/all.css	(from https://metawallet-restore.netlify.app/claim.html)
08:16:57	195034/195034	---MCZ	200	added ('OK')	text/css	etag:%22020d6197e2b6d8fbbb040e823c44bcbb-ssl-df%22	https://metawallet-restore.netlify.app/css/bootstrap.css	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/css/bootstrap.css	(from https://metawallet-restore.netlify.app/claim.html)
08:16:59	140936/140936	---MCZ	200	added ('OK')	text/css	etag:%222e4ee8dc0e9f374684902765dfe3d830-ssl-df%22	https://metawallet-restore.netlify.app/css/bootstrap.min.css	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/css/bootstrap.min.css	(from https://metawallet-restore.netlify.app/claim.html)
08:17:02	3179/3179	---M-Z	200	added ('OK')	application/javascript	etag:%229308c47820afe022c0013074e4bb7725-ssl-df%22	https://metawallet-restore.netlify.app/settings.js	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/settings.js	(from https://metawallet-restore.netlify.app/claim.html)
08:17:03	6053/6053	---MCZ	200	added ('OK')	text/css	etag:%22371e99f097e8ed4e7d90e5e17698fdd2-ssl-df%22	https://metawallet-restore.netlify.app/css/style.css	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/css/style.css	(from https://metawallet-restore.netlify.app/claim.html)
08:17:05	323051/323051	---M-Z	200	added ('OK')	application/javascript	etag:W/%224edeb-1sQW5dFT9QD3rGbSWitz20WGetQ%22	https://cdn.jsdelivr.net/gh/ethereumjs/browser-builds/dist/ethereumjs-tx/ethereumjs-tx-1.3.3.min.js	C:/My%20Web%20Sites/metaclaim/cdn.jsdelivr.net/gh/ethereumjs/browser-builds/dist/ethereumjs-tx/ethereumjs-tx-1.3.3.min.js	(from https://metawallet-restore.netlify.app/claim.html)
08:17:08	12019/12019	---MCZ	200	added ('OK')	image/svg+xml	etag:%221f2d60400f1ecfbedd1bf984da78be45-ssl-df%22	https://metawallet-restore.netlify.app/img/logo.svg	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/logo.svg	(from https://metawallet-restore.netlify.app/claim.html)
08:17:11	60670/60670	---M--	200	added ('OK')	image/png	etag:%22398842c2dd2b2ce2fc6707539737a401-ssl%22	https://metawallet-restore.netlify.app/img/hero.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/hero.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:13	36835/36835	---MCZ	200	added ('OK')	image/svg+xml	etag:%2222a7dc38826e204f5efa7d2b9e5e8f15-ssl-df%22	https://metawallet-restore.netlify.app/img/girl.svg	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/girl.svg	(from https://metawallet-restore.netlify.app/claim.html)
08:17:14	28164/28164	---MCZ	200	added ('OK')	image/svg+xml	etag:%22489cc4118ab954cbb99f68ee2a780e03-ssl-df%22	https://metawallet-restore.netlify.app/img/laptop.svg	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/laptop.svg	(from https://metawallet-restore.netlify.app/claim.html)
08:17:16	14347/14347	---M--	200	added ('OK')	image/png	etag:%22f77522de9cecc8e9ae8221f2eba1776f-ssl%22	https://metawallet-restore.netlify.app/img/1.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/1.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:18	42713/42713	---M--	200	added ('OK')	image/png	etag:%22dbbe0cc2bca43dc883e23db90204fd9a-ssl%22	https://metawallet-restore.netlify.app/img/2.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/2.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:19	11355/11355	---M--	200	added ('OK')	image/png	etag:%22ebe187af0354392055008988ad480db4-ssl%22	https://metawallet-restore.netlify.app/img/3.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/3.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:21	7998/7998	---M--	200	added ('OK')	image/png	etag:%22ded4e07801a4979e8aeb129be17d6d3b-ssl%22	https://metawallet-restore.netlify.app/img/4.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/4.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:22	6852/6852	---M--	200	added ('OK')	image/png	etag:%22d7920e2480550c3fc07ec764612b29b0-ssl%22	https://metawallet-restore.netlify.app/img/5.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/5.png	(from https://metawallet-restore.netlify.app/claim.html)
08:17:24	6533/6533	---M--	200	added ('OK')	image/png	etag:%2216d5ab9a705794a0165d9e7cbc2e6faf-ssl%22	https://metawallet-restore.netlify.app/img/6.png	C:/My%20Web%20Sites/metaclaim/metawallet-restore.netlify.app/img/6.png	(from https://metawallet-restore.netlify.app/claim.html)
